Date,Team_1,Team_2,Group,Team_1_ranking,Team_2_ranking
"Oct 17, Sun",Sri Lanka,Papua New Guinea,B,10,19
"Oct 17, Sun",Bangladesh,Scotland,B,8,13
"Oct 18,Mon",Ireland ,Netherlands,A,14,18
"Oct 18,Mon",Sri Lanka,Namibia,A,10,16
"Oct 19,Tue",Scotland,Papua New Guinea,B,13,19
"Oct 19,Tue",Oman,Bangladesh,B,17,8
"Oct 20,Wed",Namibia,Netherlands,A,16,18
"Oct 20,Wed",Sri Lanka,Ireland,A,10,14
"Oct 21,Thu",Bangladesh,Papua New Guinea,B,8,19
"Oct 21,Thu",Oman,Scotland,B,17,13
"Oct 22,Fri",Namibia,Ireland,A,16,14
"Oct 22,Fri",Sri Lanka,Netherlands,A,10,18
